2theta in degrees,after debinding and sintering,normalized
22.24,859.911,37.77439
22.26,814.956,35.7996
22.28,868.716,38.16118
22.3,877.887,38.56405
22.32,828.393,36.38986
22.34,792.231,34.80133
22.36,817.028,35.89062
22.38,815.146,35.80794
22.4,825.643,36.26906
22.42,832.099,36.55266
22.44,837.482,36.78913
22.46,806.787,35.44075
22.48,806.849,35.44347
22.5,824.9,36.23642
22.52,796.797,35.0019
22.54,808.91,35.53401
22.56,786.04,34.52937
22.58,796.388,34.98394
22.6,835.979,36.7231
22.62,834.839,36.67302
22.64,785.406,34.50152
22.66,792.73,34.82325
22.68,821.419,36.08351
22.7,750.085,32.94993
22.72,769.91,33.82081
22.74,769.237,33.79124
22.76,789.083,34.66304
22.78,731.435,32.13067
22.8,785.161,34.49076
22.82,764.258,33.57252
22.84,791.115,34.7523
22.86,751.951,33.0319
22.88,721.475,31.69314
22.9,789.219,34.66902
22.92,716.851,31.49002
22.94,756.925,33.2504
22.96,744.221,32.69233
22.98,754.843,33.15894
23,747.202,32.82328
23.02,761.986,33.47272
23.04,748.318,32.87231
23.06,716.539,31.47631
23.08,723.799,31.79523
23.1,725.576,31.87329
23.12,729.071,32.02682
23.14,653.069,28.68818
23.16,716.852,31.49006
23.18,711.53,31.25627
23.2,678.161,29.79043
23.22,704.902,30.96512
23.24,676.381,29.71224
23.26,703.199,30.89031
23.28,662.628,29.10809
23.3,694.403,30.50391
23.32,707.208,31.06642
23.34,706.087,31.01717
23.36,708.695,31.13174
23.38,700.07,30.75286
23.4,735.033,32.28872
23.42,717.876,31.53504
23.44,688.543,30.24649
23.46,692.601,30.42476
23.48,698.584,30.68758
23.5,702.336,30.8524
23.52,700.01,30.75022
23.54,688.953,30.26451
23.56,667.125,29.30564
23.58,685.351,30.10628
23.6,691.15,30.36102
23.62,646.729,28.40968
23.64,652.643,28.66947
23.66,651.005,28.59752
23.68,623.672,27.39682
23.7,638.011,28.02671
23.72,637.043,27.98419
23.74,660.026,28.99379
23.76,639.917,28.11044
23.78,668.309,29.35765
23.8,680.804,29.90653
23.82,640.859,28.15182
23.84,619.457,27.21167
23.86,642.617,28.22905
23.88,656.04,28.81869
23.9,679.401,29.8449
23.92,640.645,28.14242
23.94,620.985,27.27879
23.96,628.888,27.62595
23.98,631.871,27.75699
24,618.204,27.15662
24.02,662.641,29.10866
24.04,649.793,28.54427
24.06,616.619,27.087
24.08,608.804,26.7437
24.1,628.256,27.59819
24.12,681.593,29.94119
24.14,634.76,27.8839
24.16,640.507,28.13636
24.18,596.591,26.2072
24.2,619.831,27.2281
24.22,622.272,27.33533
24.24,631.765,27.75234
24.26,613.696,26.9586
24.28,600.075,26.36025
24.3,637.114,27.98731
24.32,589.002,25.87383
24.34,615.483,27.0371
24.36,609.051,26.75455
24.38,592.158,26.01247
24.4,621.726,27.31134
24.42,636.226,27.9483
24.44,616.741,27.09236
24.46,613.102,26.9325
24.48,595.872,26.17562
24.5,607.886,26.70337
24.52,626.674,27.5287
24.54,588.074,25.83307
24.56,595.873,26.17566
24.58,574.022,25.21579
24.6,579.892,25.47365
24.62,599.584,26.33868
24.64,607.363,26.6804
24.66,598.575,26.29436
24.68,597.513,26.24771
24.7,582.272,25.57819
24.72,577.328,25.36101
24.74,564.153,24.78226
24.76,568.907,24.99109
24.78,546.685,24.01492
